Package,LibPath,Version,Priority,Built
abind,C:/Users/Mike/Documents/R-3.3.3/library,1.4-5,NA,3.3.2
acepack,C:/Users/Mike/Documents/R-3.3.3/library,1.4.1,NA,3.3.3
affy,C:/Users/Mike/Documents/R-3.3.3/library,1.52.0,NA,3.3.1
affyio,C:/Users/Mike/Documents/R-3.3.3/library,1.44.0,NA,3.3.1
annotate,C:/Users/Mike/Documents/R-3.3.3/library,1.52.1,NA,3.3.2
AnnotationDbi,C:/Users/Mike/Documents/R-3.3.3/library,1.36.2,NA,3.3.2
arm,C:/Users/Mike/Documents/R-3.3.3/library,1.9-3,NA,3.3.3
assertthat,C:/Users/Mike/Documents/R-3.3.3/library,0.2.0,NA,3.3.3
backports,C:/Users/Mike/Documents/R-3.3.3/library,1.1.2,NA,3.3.3
base,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
base64enc,C:/Users/Mike/Documents/R-3.3.3/library,0.1-3,NA,3.3.2
BH,C:/Users/Mike/Documents/R-3.3.3/library,1.65.0-1,NA,3.3.3
bindr,C:/Users/Mike/Documents/R-3.3.3/library,0.1.1,NA,3.4.4
bindrcpp,C:/Users/Mike/Documents/R-3.3.3/library,0.2.2,NA,3.4.4
Biobase,C:/Users/Mike/Documents/R-3.3.3/library,2.34.0,NA,3.3.1
BiocGenerics,C:/Users/Mike/Documents/R-3.3.3/library,0.20.0,NA,3.3.1
BiocInstaller,C:/Users/Mike/Documents/R-3.3.3/library,1.24.0,NA,3.3.1
Biostrings,C:/Users/Mike/Documents/R-3.3.3/library,2.42.1,NA,3.3.2
bit,C:/Users/Mike/Documents/R-3.3.3/library,1.1-14,NA,3.4.4
bit64,C:/Users/Mike/Documents/R-3.3.3/library,0.9-7,NA,3.4.4
bitops,C:/Users/Mike/Documents/R-3.3.3/library,1.0-6,NA,3.3.2
blme,C:/Users/Mike/Documents/R-3.3.3/library,1.0-4,NA,3.3.3
blogdown,C:/Users/Mike/Documents/R-3.3.3/library,0.5,NA,3.4.3
bookdown,C:/Users/Mike/Documents/R-3.3.3/library,0.6,NA,3.3.3
boot,C:/Users/Mike/Documents/R-3.3.3/library,1.3-19,recommended,3.3.3
broom,C:/Users/Mike/Documents/R-3.3.3/library,0.4.2,NA,3.3.3
calibrate,C:/Users/Mike/Documents/R-3.3.3/library,1.7.2,NA,3.3.3
car,C:/Users/Mike/Documents/R-3.3.3/library,2.1-5,NA,3.3.3
caTools,C:/Users/Mike/Documents/R-3.3.3/library,1.17.1,NA,3.3.3
cellranger,C:/Users/Mike/Documents/R-3.3.3/library,1.1.0,NA,3.3.3
checkmate,C:/Users/Mike/Documents/R-3.3.3/library,1.8.2,NA,3.3.3
chron,C:/Users/Mike/Documents/R-3.3.3/library,2.3-51,NA,3.3.3
class,C:/Users/Mike/Documents/R-3.3.3/library,7.3-14,recommended,3.3.3
classInt,C:/Users/Mike/Documents/R-3.3.3/library,0.2-3,NA,3.4.4
cli,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.3.3
clipr,C:/Users/Mike/Documents/R-3.3.3/library,0.5.0,NA,3.4.4
clisymbols,C:/Users/Mike/Documents/R-3.3.3/library,1.2.0,NA,3.4.4
cluster,C:/Users/Mike/Documents/R-3.3.3/library,2.0.6,recommended,3.3.3
coda,C:/Users/Mike/Documents/R-3.3.3/library,0.19-1,NA,3.3.3
codetools,C:/Users/Mike/Documents/R-3.3.3/library,0.2-15,recommended,3.3.3
coin,C:/Users/Mike/Documents/R-3.3.3/library,1.2-1,NA,3.3.3
colorspace,C:/Users/Mike/Documents/R-3.3.3/library,1.3-2,NA,3.3.3
compiler,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
corrplot,C:/Users/Mike/Documents/R-3.3.3/library,0.84,NA,3.3.3
covr,C:/Users/Mike/Documents/R-3.3.3/library,3.1.0,NA,3.4.4
cranlogs,C:/Users/Mike/Documents/R-3.3.3/library,2.1.0,NA,3.3.3
crayon,C:/Users/Mike/Documents/R-3.3.3/library,1.3.4,NA,3.3.3
crosstalk,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.3.3
curl,C:/Users/Mike/Documents/R-3.3.3/library,3.1,NA,3.3.3
data.table,C:/Users/Mike/Documents/R-3.3.3/library,1.11.4,NA,3.4.4
datasets,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
DBI,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.4.4
desc,C:/Users/Mike/Documents/R-3.3.3/library,1.2.0,NA,3.4.4
devtools,C:/Users/Mike/Documents/R-3.3.3/library,1.13.0,NA,3.3.3
dichromat,C:/Users/Mike/Documents/R-3.3.3/library,2.0-0,NA,3.3.2
digest,C:/Users/Mike/Documents/R-3.3.3/library,0.6.15,NA,3.3.3
dplyr,C:/Users/Mike/Documents/R-3.3.3/library,0.7.6,NA,3.4.4
DT,C:/Users/Mike/Documents/R-3.3.3/library,0.4,NA,3.3.3
dygraphs,C:/Users/Mike/Documents/R-3.3.3/library,1.1.1.4,NA,3.4.4
e1071,C:/Users/Mike/Documents/R-3.3.3/library,1.6-8,NA,3.4.4
effects,C:/Users/Mike/Documents/R-3.3.3/library,3.1-2,NA,3.3.3
evaluate,C:/Users/Mike/Documents/R-3.3.3/library,0.10.1,NA,3.3.3
extrafont,C:/Users/Mike/Documents/R-3.3.3/library,0.17,NA,3.4.3
extrafontdb,C:/Users/Mike/Documents/R-3.3.3/library,1.0,NA,3.4.1
fda,C:/Users/Mike/Documents/R-3.3.3/library,2.4.7,NA,3.4.3
flexdashboard,C:/Users/Mike/Documents/R-3.3.3/library,0.5.1,NA,3.3.3
fontBitstreamVera,C:/Users/Mike/Documents/R-3.3.3/library,0.1.1,NA,3.4.1
fontLiberation,C:/Users/Mike/Documents/R-3.3.3/library,0.1.0,NA,3.4.1
fontquiver,C:/Users/Mike/Documents/R-3.3.3/library,0.2.1,NA,3.4.4
forcats,C:/Users/Mike/Documents/R-3.3.3/library,0.2.0,NA,3.3.3
foreign,C:/Users/Mike/Documents/R-3.3.3/library,0.8-68,recommended,3.3.3
formatR,C:/Users/Mike/Documents/R-3.3.3/library,1.5,NA,3.3.3
Formula,C:/Users/Mike/Documents/R-3.3.3/library,1.2-1,NA,3.3.2
fs,C:/Users/Mike/Documents/R-3.3.3/library,1.2.6,NA,3.4.4
futile.logger,C:/Users/Mike/Documents/R-3.3.3/library,1.4.3,NA,3.3.3
futile.options,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.3.2
gamm4,C:/Users/Mike/Documents/R-3.3.3/library,0.2-5,NA,3.4.3
gapminder,C:/Users/Mike/Documents/R-3.3.3/library,0.3.0,NA,3.3.3
gcrma,C:/Users/Mike/Documents/R-3.3.3/library,2.46.0,NA,3.3.1
gdata,C:/Users/Mike/Documents/R-3.3.3/library,2.17.0,NA,3.3.3
gdtools,C:/Users/Mike/Documents/R-3.3.3/library,0.1.7,NA,3.4.4
gee,C:/Users/Mike/Documents/R-3.3.3/library,4.13-19,NA,3.3.3
geepack,C:/Users/Mike/Documents/R-3.3.3/library,1.2-1,NA,3.4.1
GEOquery,C:/Users/Mike/Documents/R-3.3.3/library,2.40.0,NA,3.3.1
GGally,C:/Users/Mike/Documents/R-3.3.3/library,1.3.2,NA,3.4.4
ggbiplot,C:/Users/Mike/Documents/R-3.3.3/library,0.55,NA,3.3.3
ggcorrplot,C:/Users/Mike/Documents/R-3.3.3/library,0.1.1,NA,3.3.3
ggdendro,C:/Users/Mike/Documents/R-3.3.3/library,0.1-20,NA,3.4.4
ggeffects,C:/Users/Mike/Documents/R-3.3.3/library,0.2.1,NA,3.3.3
ggformula,C:/Users/Mike/Documents/R-3.3.3/library,0.9.0,NA,3.4.4
ggplot2,C:/Users/Mike/Documents/R-3.3.3/library,3.0.0,NA,3.4.3
ggplot2movies,C:/Users/Mike/Documents/R-3.3.3/library,0.0.1,NA,3.4.1
ggrepel,C:/Users/Mike/Documents/R-3.3.3/library,0.8.0,NA,3.4.4
ggstance,C:/Users/Mike/Documents/R-3.3.3/library,0.3.1,NA,3.4.4
gh,C:/Users/Mike/Documents/R-3.3.3/library,1.0.1,NA,3.4.4
git2r,C:/Users/Mike/Documents/R-3.3.3/library,0.24.0,NA,3.4.4
glmmTMB,C:/Users/Mike/Documents/R-3.3.3/library,0.1.1,NA,3.3.3
glue,C:/Users/Mike/Documents/R-3.3.3/library,1.2.0,NA,3.3.3
graphics,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
grDevices,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
grid,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
gridExtra,C:/Users/Mike/Documents/R-3.3.3/library,2.3,NA,3.3.3
grpreg,C:/Users/Mike/Documents/R-3.3.3/library,3.1-2,NA,3.4.3
gtable,C:/Users/Mike/Documents/R-3.3.3/library,0.2.0,NA,3.3.3
gtools,C:/Users/Mike/Documents/R-3.3.3/library,3.5.0,NA,3.3.2
haven,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.3.3
here,C:/Users/Mike/Documents/R-3.3.3/library,0.1,NA,3.4.4
hexbin,C:/Users/Mike/Documents/R-3.3.3/library,1.27.2,NA,3.4.4
hgu133plus2.db,C:/Users/Mike/Documents/R-3.3.3/library,3.2.3,NA,3.3.3
highr,C:/Users/Mike/Documents/R-3.3.3/library,0.6,NA,3.3.3
Hmisc,C:/Users/Mike/Documents/R-3.3.3/library,4.0-3,NA,3.3.3
hms,C:/Users/Mike/Documents/R-3.3.3/library,0.3,NA,3.3.3
htmlTable,C:/Users/Mike/Documents/R-3.3.3/library,1.9,NA,3.3.3
htmltools,C:/Users/Mike/Documents/R-3.3.3/library,0.3.6,NA,3.3.3
htmlwidgets,C:/Users/Mike/Documents/R-3.3.3/library,1.2,NA,3.4.4
httpuv,C:/Users/Mike/Documents/R-3.3.3/library,1.3.5,NA,3.3.3
httr,C:/Users/Mike/Documents/R-3.3.3/library,1.3.1,NA,3.3.3
ini,C:/Users/Mike/Documents/R-3.3.3/library,0.3.1,NA,3.4.4
inline,C:/Users/Mike/Documents/R-3.3.3/library,0.3.15,NA,3.4.4
installr,C:/Users/Mike/Documents/R-3.3.3/library,0.19.0,NA,3.3.3
IRanges,C:/Users/Mike/Documents/R-3.3.3/library,2.8.2,NA,3.3.3
jsonlite,C:/Users/Mike/Documents/R-3.3.3/library,1.5,NA,3.3.3
jtools,C:/Users/Mike/Documents/R-3.3.3/library,0.9.4,NA,3.4.4
KernSmooth,C:/Users/Mike/Documents/R-3.3.3/library,2.23-15,recommended,3.3.3
knitr,C:/Users/Mike/Documents/R-3.3.3/library,1.18,NA,3.3.3
labeling,C:/Users/Mike/Documents/R-3.3.3/library,0.3,NA,3.3.2
lambda.r,C:/Users/Mike/Documents/R-3.3.3/library,1.1.9,NA,3.3.3
later,C:/Users/Mike/Documents/R-3.3.3/library,0.6,NA,3.4.3
lattice,C:/Users/Mike/Documents/R-3.3.3/library,0.20-35,recommended,3.3.3
latticeExtra,C:/Users/Mike/Documents/R-3.3.3/library,0.6-28,NA,3.3.3
lazyeval,C:/Users/Mike/Documents/R-3.3.3/library,0.2.1,NA,3.3.3
leaflet,C:/Users/Mike/Documents/R-3.3.3/library,1.1.0,NA,3.3.3
limma,C:/Users/Mike/Documents/R-3.3.3/library,3.30.13,NA,3.3.3
lme4,C:/Users/Mike/Documents/R-3.3.3/library,1.1-13,NA,3.3.3
lmerTest,C:/Users/Mike/Documents/R-3.3.3/library,2.0-33,NA,3.3.3
lmtest,C:/Users/Mike/Documents/R-3.3.3/library,0.9-35,NA,3.3.3
lubridate,C:/Users/Mike/Documents/R-3.3.3/library,1.7.1,NA,3.3.3
magrittr,C:/Users/Mike/Documents/R-3.3.3/library,1.5,NA,3.3.3
mapproj,C:/Users/Mike/Documents/R-3.3.3/library,1.2.6,NA,3.4.4
maps,C:/Users/Mike/Documents/R-3.3.3/library,3.3.0,NA,3.4.4
maptools,C:/Users/Mike/Documents/R-3.3.3/library,0.9-2,NA,3.4.4
markdown,C:/Users/Mike/Documents/R-3.3.3/library,0.8,NA,3.3.3
MASS,C:/Users/Mike/Documents/R-3.3.3/library,7.3-47,recommended,3.3.3
Matrix,C:/Users/Mike/Documents/R-3.3.3/library,1.2-11,recommended,3.3.3
MatrixModels,C:/Users/Mike/Documents/R-3.3.3/library,0.4-1,NA,3.3.3
memoise,C:/Users/Mike/Documents/R-3.3.3/library,1.1.0,NA,3.3.3
merTools,C:/Users/Mike/Documents/R-3.3.3/library,0.3.0,NA,3.3.3
methods,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
mgcv,C:/Users/Mike/Documents/R-3.3.3/library,1.8-17,recommended,3.3.3
mime,C:/Users/Mike/Documents/R-3.3.3/library,0.5,NA,3.3.2
miniUI,C:/Users/Mike/Documents/R-3.3.3/library,0.1.1,NA,3.3.3
minqa,C:/Users/Mike/Documents/R-3.3.3/library,1.2.4,NA,3.3.3
mnormt,C:/Users/Mike/Documents/R-3.3.3/library,1.5-5,NA,3.3.2
modelr,C:/Users/Mike/Documents/R-3.3.3/library,0.1.0,NA,3.3.3
modeltools,C:/Users/Mike/Documents/R-3.3.3/library,0.2-21,NA,3.3.2
mosaic,C:/Users/Mike/Documents/R-3.3.3/library,1.4.0,NA,3.4.4
mosaicCore,C:/Users/Mike/Documents/R-3.3.3/library,0.6.0,NA,3.4.4
mosaicData,C:/Users/Mike/Documents/R-3.3.3/library,0.17.0,NA,3.4.4
multcomp,C:/Users/Mike/Documents/R-3.3.3/library,1.4-6,NA,3.3.3
munsell,C:/Users/Mike/Documents/R-3.3.3/library,0.4.3,NA,3.3.3
mvtnorm,C:/Users/Mike/Documents/R-3.3.3/library,1.0-6,NA,3.3.2
nanotime,C:/Users/Mike/Documents/R-3.3.3/library,0.2.1,NA,3.4.4
nlme,C:/Users/Mike/Documents/R-3.3.3/library,3.1-131,recommended,3.3.3
nloptr,C:/Users/Mike/Documents/R-3.3.3/library,1.0.4,NA,3.3.3
nnet,C:/Users/Mike/Documents/R-3.3.3/library,7.3-12,recommended,3.3.3
openssl,C:/Users/Mike/Documents/R-3.3.3/library,0.9.9,NA,3.3.3
org.Hs.eg.db,C:/Users/Mike/Documents/R-3.3.3/library,3.4.0,NA,3.3.3
packrat,C:/Users/Mike/Documents/R-3.3.3/library,0.4.8-1,NA,3.3.3
parallel,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
pbkrtest,C:/Users/Mike/Documents/R-3.3.3/library,0.4-7,NA,3.3.3
pbs,C:/Users/Mike/Documents/R-3.3.3/library,1.1,NA,3.4.1
pillar,C:/Users/Mike/Documents/R-3.3.3/library,1.1.0,NA,3.3.3
pinp,C:/Users/Mike/Documents/R-3.3.3/library,0.0.5,NA,3.4.4
pkgconfig,C:/Users/Mike/Documents/R-3.3.3/library,2.0.1,NA,3.3.3
pkgKitten,C:/Users/Mike/Documents/R-3.3.3/library,0.1.4,NA,3.4.4
PKI,C:/Users/Mike/Documents/R-3.3.3/library,0.1-3,NA,3.3.2
plogr,C:/Users/Mike/Documents/R-3.3.3/library,0.2.0,NA,3.4.4
plotly,C:/Users/Mike/Documents/R-3.3.3/library,4.8.0,NA,3.4.4
plyr,C:/Users/Mike/Documents/R-3.3.3/library,1.8.4,NA,3.3.3
png,C:/Users/Mike/Documents/R-3.3.3/library,0.1-7,NA,3.3.2
praise,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.4.4
prediction,C:/Users/Mike/Documents/R-3.3.3/library,0.2.0,NA,3.3.3
preprocessCore,C:/Users/Mike/Documents/R-3.3.3/library,1.36.0,NA,3.3.1
prettyunits,C:/Users/Mike/Documents/R-3.3.3/library,1.0.2,NA,3.4.4
progress,C:/Users/Mike/Documents/R-3.3.3/library,1.1.2,NA,3.4.4
promises,C:/Users/Mike/Documents/R-3.3.3/library,1.0.1,NA,3.4.4
psych,C:/Users/Mike/Documents/R-3.3.3/library,1.7.5,NA,3.3.3
purrr,C:/Users/Mike/Documents/R-3.3.3/library,0.2.5,NA,3.4.4
pwr,C:/Users/Mike/Documents/R-3.3.3/library,1.2-1,NA,3.3.3
quantreg,C:/Users/Mike/Documents/R-3.3.3/library,5.33,NA,3.3.3
R6,C:/Users/Mike/Documents/R-3.3.3/library,2.2.2,NA,3.3.3
raster,C:/Users/Mike/Documents/R-3.3.3/library,2.6-7,NA,3.3.3
rbenchmark,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.4.1
RColorBrewer,C:/Users/Mike/Documents/R-3.3.3/library,1.1-2,NA,3.4.1
Rcpp,C:/Users/Mike/Documents/R-3.3.3/library,0.12.17,NA,3.4.4
RcppCCTZ,C:/Users/Mike/Documents/R-3.3.3/library,0.2.3,NA,3.4.4
RcppEigen,C:/Users/Mike/Documents/R-3.3.3/library,0.3.3.3.0,NA,3.3.3
RCurl,C:/Users/Mike/Documents/R-3.3.3/library,1.95-4.8,NA,3.3.3
readr,C:/Users/Mike/Documents/R-3.3.3/library,1.1.0,NA,3.3.3
readxl,C:/Users/Mike/Documents/R-3.3.3/library,1.0.0,NA,3.3.3
refund,C:/Users/Mike/Documents/R-3.3.3/library,0.1-16,NA,3.4.3
refund.shiny,C:/Users/Mike/Documents/R-3.3.3/library,0.3.0,NA,3.4.3
rematch,C:/Users/Mike/Documents/R-3.3.3/library,1.0.1,NA,3.3.3
remotes,C:/Users/Mike/Documents/R-3.3.3/library,1.1.1,NA,3.3.3
reshape,C:/Users/Mike/Documents/R-3.3.3/library,0.8.7,NA,3.4.4
reshape2,C:/Users/Mike/Documents/R-3.3.3/library,1.4.3,NA,3.3.3
rex,C:/Users/Mike/Documents/R-3.3.3/library,1.1.2,NA,3.4.4
rgeos,C:/Users/Mike/Documents/R-3.3.3/library,0.3-28,NA,3.4.4
RJSONIO,C:/Users/Mike/Documents/R-3.3.3/library,1.3-0,NA,3.3.2
rlang,C:/Users/Mike/Documents/R-3.3.3/library,0.2.1,NA,3.4.4
RLRsim,C:/Users/Mike/Documents/R-3.3.3/library,3.1-3,NA,3.4.3
rmarkdown,C:/Users/Mike/Documents/R-3.3.3/library,1.8,NA,3.3.3
rpart,C:/Users/Mike/Documents/R-3.3.3/library,4.1-11,recommended,3.3.3
rprojroot,C:/Users/Mike/Documents/R-3.3.3/library,1.3-2,NA,3.3.3
rsconnect,C:/Users/Mike/Documents/R-3.3.3/library,0.8.5,NA,3.4.3
RSQLite,C:/Users/Mike/Documents/R-3.3.3/library,1.1-2,NA,3.3.3
rstudioapi,C:/Users/Mike/Documents/R-3.3.3/library,0.6,NA,3.3.3
Rttf2pt1,C:/Users/Mike/Documents/R-3.3.3/library,1.3.6,NA,3.4.3
RUnit,C:/Users/Mike/Documents/R-3.3.3/library,0.4.32,NA,3.4.4
rvest,C:/Users/Mike/Documents/R-3.3.3/library,0.3.2,NA,3.3.3
S4Vectors,C:/Users/Mike/Documents/R-3.3.3/library,0.12.2,NA,3.3.3
sandwich,C:/Users/Mike/Documents/R-3.3.3/library,2.4-0,NA,3.3.3
sas7bdat,C:/Users/Mike/Documents/R-3.3.3/library,0.5,NA,3.3.2
scales,C:/Users/Mike/Documents/R-3.3.3/library,0.5.0,NA,3.3.3
selectr,C:/Users/Mike/Documents/R-3.3.3/library,0.3-1,NA,3.3.3
servr,C:/Users/Mike/Documents/R-3.3.3/library,0.8,NA,3.3.3
sf,C:/Users/Mike/Documents/R-3.3.3/library,0.6-3,NA,3.4.4
shiny,C:/Users/Mike/Documents/R-3.3.3/library,1.0.5,NA,3.3.3
shinyBS,C:/Users/Mike/Documents/R-3.3.3/library,0.61,NA,3.3.3
shinydashboard,C:/Users/Mike/Documents/R-3.3.3/library,0.6.1,NA,3.3.3
shinyjs,C:/Users/Mike/Documents/R-3.3.3/library,1.0,NA,3.3.3
shinythemes,C:/Users/Mike/Documents/R-3.3.3/library,1.1.1,NA,3.3.3
shinytoastr,C:/Users/Mike/Documents/R-3.3.3/library,2.1.1,NA,3.3.3
ShinyWorkshopDeps,C:/Users/Mike/Documents/R-3.3.3/library,0.1.0,NA,3.3.3
sjlabelled,C:/Users/Mike/Documents/R-3.3.3/library,1.0.1,NA,3.3.3
sjmisc,C:/Users/Mike/Documents/R-3.3.3/library,2.6.1,NA,3.3.3
sjPlot,C:/Users/Mike/Documents/R-3.3.3/library,2.3.3,NA,3.3.3
sjstats,C:/Users/Mike/Documents/R-3.3.3/library,0.11.0,NA,3.3.3
sourcetools,C:/Users/Mike/Documents/R-3.3.3/library,0.1.6,NA,3.3.3
sp,C:/Users/Mike/Documents/R-3.3.3/library,1.2-7,NA,3.3.3
SparseM,C:/Users/Mike/Documents/R-3.3.3/library,1.77,NA,3.3.3
spatial,C:/Users/Mike/Documents/R-3.3.3/library,7.3-11,recommended,3.3.3
spData,C:/Users/Mike/Documents/R-3.3.3/library,0.2.9.0,NA,3.4.4
splines,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
stargazer,C:/Users/Mike/Documents/R-3.3.3/library,5.2,NA,3.3.2
stats,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
stats4,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
stringdist,C:/Users/Mike/Documents/R-3.3.3/library,0.9.4.6,NA,3.3.3
stringi,C:/Users/Mike/Documents/R-3.3.3/library,1.1.6,NA,3.3.3
stringr,C:/Users/Mike/Documents/R-3.3.3/library,1.2.0,NA,3.3.3
survival,C:/Users/Mike/Documents/R-3.3.3/library,2.41-3,recommended,3.3.3
svglite,C:/Users/Mike/Documents/R-3.3.3/library,1.2.1,NA,3.4.4
tcltk,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
testthat,C:/Users/Mike/Documents/R-3.3.3/library,2.0.0,NA,3.4.4
TH.data,C:/Users/Mike/Documents/R-3.3.3/library,1.0-8,NA,3.3.3
tibble,C:/Users/Mike/Documents/R-3.3.3/library,1.4.2,NA,3.3.3
tidyr,C:/Users/Mike/Documents/R-3.3.3/library,0.8.1,NA,3.4.4
tidyselect,C:/Users/Mike/Documents/R-3.3.3/library,0.2.4,NA,3.4.4
tidyverse,C:/Users/Mike/Documents/R-3.3.3/library,1.1.1,NA,3.3.3
TMB,C:/Users/Mike/Documents/R-3.3.3/library,1.7.11,NA,3.3.3
tools,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
translations,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,NA,3.3.3
units,C:/Users/Mike/Documents/R-3.3.3/library,0.6-0,NA,3.4.4
usethis,C:/Users/Mike/Documents/R-3.3.3/library,1.4.0,NA,3.4.4
utf8,C:/Users/Mike/Documents/R-3.3.3/library,1.1.3,NA,3.3.3
utils,C:/Users/Mike/Documents/R-3.3.3/library,3.3.3,base,3.3.3
vdiffr,C:/Users/Mike/Documents/R-3.3.3/library,0.2.3,NA,3.4.4
VennDiagram,C:/Users/Mike/Documents/R-3.3.3/library,1.6.17,NA,3.3.3
viridis,C:/Users/Mike/Documents/R-3.3.3/library,0.4.1,NA,3.3.3
viridisLite,C:/Users/Mike/Documents/R-3.3.3/library,0.3.0,NA,3.4.4
whisker,C:/Users/Mike/Documents/R-3.3.3/library,0.3-2,NA,3.3.3
withr,C:/Users/Mike/Documents/R-3.3.3/library,2.1.2,NA,3.4.3
xfun,C:/Users/Mike/Documents/R-3.3.3/library,0.1,NA,3.3.3
XML,C:/Users/Mike/Documents/R-3.3.3/library,3.98-1.7,NA,3.3.3
xml2,C:/Users/Mike/Documents/R-3.3.3/library,1.1.1,NA,3.3.3
xtable,C:/Users/Mike/Documents/R-3.3.3/library,1.8-2,NA,3.3.3
xts,C:/Users/Mike/Documents/R-3.3.3/library,0.10-2,NA,3.4.4
XVector,C:/Users/Mike/Documents/R-3.3.3/library,0.14.1,NA,3.3.3
yaml,C:/Users/Mike/Documents/R-3.3.3/library,2.1.16,NA,3.3.3
zlibbioc,C:/Users/Mike/Documents/R-3.3.3/library,1.20.0,NA,3.3.1
zoo,C:/Users/Mike/Documents/R-3.3.3/library,1.8-0,NA,3.3.3
base,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
boot,C:/Program Files/R/R-3.4.3/library,1.3-20,recommended,3.4.3
class,C:/Program Files/R/R-3.4.3/library,7.3-14,recommended,3.4.3
cluster,C:/Program Files/R/R-3.4.3/library,2.0.6,recommended,3.4.3
codetools,C:/Program Files/R/R-3.4.3/library,0.2-15,recommended,3.4.3
compiler,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
datasets,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
foreign,C:/Program Files/R/R-3.4.3/library,0.8-69,recommended,3.4.3
graphics,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grDevices,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
grid,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
KernSmooth,C:/Program Files/R/R-3.4.3/library,2.23-15,recommended,3.4.3
lattice,C:/Program Files/R/R-3.4.3/library,0.20-35,recommended,3.4.3
MASS,C:/Program Files/R/R-3.4.3/library,7.3-47,recommended,3.4.3
Matrix,C:/Program Files/R/R-3.4.3/library,1.2-12,recommended,3.4.3
methods,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
mgcv,C:/Program Files/R/R-3.4.3/library,1.8-22,recommended,3.4.3
nlme,C:/Program Files/R/R-3.4.3/library,3.1-131,recommended,3.4.3
nnet,C:/Program Files/R/R-3.4.3/library,7.3-12,recommended,3.4.3
parallel,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
rpart,C:/Program Files/R/R-3.4.3/library,4.1-11,recommended,3.4.3
spatial,C:/Program Files/R/R-3.4.3/library,7.3-11,recommended,3.4.3
splines,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
stats4,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
survival,C:/Program Files/R/R-3.4.3/library,2.41-3,recommended,3.4.3
tcltk,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
tools,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
translations,C:/Program Files/R/R-3.4.3/library,3.4.3,NA,3.4.3
utils,C:/Program Files/R/R-3.4.3/library,3.4.3,base,3.4.3
